#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516547851.72 0 0.000 0.000 78500 0 5 0 0.207 0 0.000 7.366 37687296.000 341491712.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547851.82 0 0.000 0.000 78500 0 5 1 0.310 0 0.000 7.382 37871616.000 341491712.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547851.92 0 0.000 0.000 78500 0 5 0 0.310 0 9.091 7.383 37928960.000 341491712.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.03 0 0.000 0.000 78500 0 5 1 0.411 0 0.000 7.391 37928960.000 341491712.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.13 0 0.000 0.000 78500 0 5 0 0.411 0 10.000 7.391 37969920.000 341491712.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.23 0 0.000 0.000 78500 0 5 1 0.513 0 0.000 7.396 37969920.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.33 0 0.000 0.000 78500 0 5 0 0.513 0 0.000 7.404 37994496.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.43 0 0.000 0.000 78500 0 5 1 0.615 0 10.000 7.404 38035456.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.54 0 0.000 0.000 78500 0 5 0 0.615 0 0.000 7.409 38039552.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.64 0 0.000 0.000 78500 0 5 1 0.716 0 0.000 7.409 38060032.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.74 0 0.000 0.000 78500 0 5 0 0.716 0 10.000 7.413 38060032.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.84 0 0.000 0.000 78500 0 5 1 0.817 0 0.000 7.417 38080512.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547852.94 0 0.000 0.000 78500 0 5 0 0.817 0 0.000 7.417 38105088.000 341688320.000 1516547851.618 -1.000 78500 116000 216000 316000 616000 1216000
1516547853.04 136965 3.920 110965.428 78500 0 5 1 0.918 153784 20.000 7.507 38371328.000 341925888.000 1516547853.014 1516547853.003 78500 116000 216000 316000 616000 1216000
1516547853.15 135869 3.800 110965.428 78500 0 5 1 0.918 153784 0.000 7.507 38563840.000 341925888.000 1516547853.014 1516547853.003 78500 116000 216000 316000 616000 1216000
1516547853.25 135780 3.640 110965.428 78500 0 5 1 0.918 153784 0.000 7.507 38563840.000 341925888.000 1516547853.014 1516547853.003 78500 116000 216000 316000 616000 1216000
