#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516547659.38 0 0.000 0.000 78500 0 5 0 0.212 0 0.000 7.368 37695488.000 341409792.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.48 0 0.000 0.000 78500 0 5 1 0.313 0 10.000 7.383 37875712.000 341553152.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.58 0 0.000 0.000 78500 0 5 0 0.313 0 0.000 7.384 37933056.000 341553152.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.69 0 0.000 0.000 78500 0 5 1 0.415 0 10.000 7.392 37933056.000 341553152.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.79 0 0.000 0.000 78500 0 5 0 0.415 0 0.000 7.392 37974016.000 341553152.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.89 0 0.000 0.000 78500 0 5 1 0.517 0 0.000 7.397 37974016.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547659.99 0 0.000 0.000 78500 0 5 0 0.517 0 9.091 7.405 37998592.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.09 0 0.000 0.000 78500 0 5 1 0.617 0 0.000 7.405 38039552.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.20 0 0.000 0.000 78500 0 5 0 0.617 0 0.000 7.409 38043648.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.30 0 0.000 0.000 78500 0 5 1 0.719 0 0.000 7.409 38064128.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.40 0 0.000 0.000 78500 0 5 0 0.719 0 10.000 7.414 38064128.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.50 0 0.000 0.000 78500 0 5 1 0.821 0 0.000 7.418 38088704.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.60 0 0.000 0.000 78500 0 5 0 0.821 0 0.000 7.418 38109184.000 341696512.000 1516547659.275 -1.000 78500 116000 216000 316000 616000 1216000
1516547660.70 136965 3.920 110697.767 78500 0 5 1 0.922 153784 9.091 7.508 38375424.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547660.81 135869 3.800 110697.767 78500 0 5 1 0.922 153784 0.000 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547660.91 135780 3.640 110697.767 78500 0 5 1 0.922 153784 10.000 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.01 135780 3.640 110697.767 78500 0 5 1 0.922 153784 9.091 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.11 135688 3.520 110697.767 78500 0 5 1 0.922 153784 0.000 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.22 135524 3.360 110697.767 78500 0 5 1 0.922 153784 10.000 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.32 135524 3.360 110697.767 78500 0 5 1 0.922 153784 0.000 7.508 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.42 135319 3.200 110697.767 78500 0 5 1 0.922 153784 0.000 7.511 38572032.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.52 135097 3.080 110697.767 78500 0 5 1 0.922 153784 0.000 7.511 38584320.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.63 134944 2.920 110697.767 78500 0 5 1 0.922 153784 0.000 7.511 38584320.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.73 134944 2.920 110697.767 78500 0 5 1 0.922 153784 10.000 7.511 38588416.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.83 134699 2.760 110697.767 78500 0 5 1 0.922 153784 0.000 7.511 38588416.000 341934080.000 1516547660.673 1516547660.665 78500 116000 216000 316000 616000 1216000
1516547661.93 260245 6.640 112813.757 78500 0 5 1 0.922 294596 9.091 7.617 39129088.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.03 260245 6.640 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.14 258676 6.480 112813.757 78500 0 5 1 0.922 294596 10.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.24 258676 6.480 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.34 247387 6.360 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.44 240253 6.280 112813.757 78500 0 5 1 0.922 294596 10.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.54 227305 6.160 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.64 216807 6.080 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.75 197510 5.920 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.85 187491 5.840 112813.757 78500 0 5 1 0.922 294596 10.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547662.95 181776 5.760 112813.757 78500 0 5 1 0.922 294596 0.000 7.617 39133184.000 341934080.000 1516547661.931 1516547661.921 78500 116000 216000 316000 616000 1216000
1516547663.05 253242 9.600 88118.280 78500 0 5 1 0.922 385964 10.000 7.617 39133184.000 341934080.000 1516547662.973 1516547662.968 78500 116000 216000 316000 616000 1216000
1516547663.16 248663 9.520 88118.280 78500 0 5 1 0.922 385964 0.000 7.617 39133184.000 341934080.000 1516547662.973 1516547662.968 78500 116000 216000 316000 616000 1216000
1516547663.26 246419 9.360 88118.280 78500 0 5 1 0.922 385964 10.000 7.618 39133184.000 341934080.000 1516547662.973 1516547662.968 78500 116000 216000 316000 616000 1216000
