#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516719522.42 0 0.000 0.000 78500 0 5 0 0.143 0 0.000 7.368 37695488.000 341405696.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719522.52 0 0.000 0.000 78500 0 5 1 0.245 0 9.091 7.383 37875712.000 341553152.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719522.63 0 0.000 0.000 78500 0 5 0 0.245 0 10.000 7.392 37933056.000 341553152.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719522.73 0 0.000 0.000 78500 0 5 1 0.346 0 0.000 7.397 37974016.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719522.83 0 0.000 0.000 78500 0 5 0 0.346 0 0.000 7.397 37998592.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719522.93 0 0.000 0.000 78500 0 5 1 0.446 0 9.091 7.405 37998592.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719523.03 0 0.000 0.000 78500 0 5 0 0.446 0 0.000 7.409 38039552.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719523.13 0 0.000 0.000 78500 0 5 1 0.548 0 0.000 7.413 38060032.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719523.24 0 0.000 0.000 78500 0 5 0 0.548 0 0.000 7.413 38084608.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719523.34 0 0.000 0.000 78500 0 5 1 0.650 0 10.000 7.417 38084608.000 341696512.000 1516719522.317 -1.000 78500 116000 216000 316000 616000 1216000
1516719523.44 136965 3.920 142243.352 78500 0 5 1 0.650 153784 9.091 7.539 38637568.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719523.54 135869 3.800 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719523.65 135780 3.640 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719523.75 135780 3.640 142243.352 78500 0 5 1 0.650 153784 10.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719523.85 135688 3.520 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719523.95 135524 3.360 142243.352 78500 0 5 1 0.650 153784 10.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719524.06 135319 3.200 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719524.16 135319 3.200 142243.352 78500 0 5 1 0.650 153784 10.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719524.26 135097 3.080 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719524.36 134944 2.920 142243.352 78500 0 5 1 0.650 153784 0.000 7.539 38731776.000 417435648.000 1516719523.407 1516719523.398 78500 116000 216000 316000 616000 1216000
1516719524.47 260852 6.960 146836.846 78500 0 5 1 0.650 294596 10.000 7.650 39272448.000 417435648.000 1516719524.373 1516719524.366 78500 116000 216000 316000 616000 1216000
1516719524.57 260607 6.800 146836.846 78500 0 5 1 0.650 294596 0.000 7.650 39301120.000 417435648.000 1516719524.373 1516719524.366 78500 116000 216000 316000 616000 1216000
1516719524.67 260245 6.640 146836.846 78500 0 5 1 0.650 294596 10.000 7.650 39301120.000 417435648.000 1516719524.373 1516719524.366 78500 116000 216000 316000 616000 1216000
1516719524.77 260245 6.640 146836.846 78500 0 5 1 0.650 294596 0.000 7.650 39301120.000 417435648.000 1516719524.373 1516719524.366 78500 116000 216000 316000 616000 1216000
