#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0 q4,visible=0 q5,visible=0
1516722645.07 0 0.000 0.000 78500 0 5 0 0.065 0 0.000 7.406 37969920.000 341663744.000 1516722644.971 -1.000 78500 116000 216000 316000 616000 1216000
1516722645.18 136965 3.920 815280.931 78500 0 5 1 0.166 153784 10.000 7.508 38326272.000 341946368.000 1516722645.169 1516722645.160 78500 116000 216000 316000 616000 1216000
1516722645.28 135869 3.800 815280.931 78500 0 5 1 0.166 153784 0.000 7.508 38572032.000 341946368.000 1516722645.169 1516722645.160 78500 116000 216000 316000 616000 1216000
1516722645.39 261688 7.680 680783.564 1216000 5 5 1 0.166 294596 18.182 7.617 39112704.000 341946368.000 1516722645.169 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722645.49 261688 7.680 680783.564 1216000 5 5 1 0.166 294596 0.000 7.617 39133184.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722645.59 261596 7.560 680783.564 1216000 5 5 1 0.166 294596 0.000 7.617 39133184.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722645.69 261432 7.400 680783.564 1216000 5 5 1 0.166 294596 0.000 7.617 39133184.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722645.79 261432 7.400 680783.564 1216000 5 5 1 0.166 294596 0.000 7.617 39133184.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722645.90 261227 7.240 680783.564 1216000 5 5 1 0.166 294596 10.000 7.621 39133184.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
1516722646.00 261005 7.120 680783.564 1216000 5 5 1 0.166 294596 0.000 7.634 39153664.000 341946368.000 1516722645.388 1516722645.376 78500 116000 216000 316000 616000 1216000
